Epoch,PC_Index,Source_Line,Voltage,Action,Status,Total_Cycles,Wasted_Cycles,Wasted_Time_ms
3,53,42,2.000000015625,EXECUTE,SUCCESS,83,0,0.0
3,54,44,2.000000005625,EXECUTE,SUCCESS,84,0,0.0
3,55,46,2.00000001125,EXECUTE,SUCCESS,86,0,0.0
3,55,47,2.0000014999994375,CHECKPOINT,SUCCESS,182,0,0.0
3,56,47,2.0000000312499995,EXECUTE,SUCCESS,184,0,0.0
3,57,49,2.0000000312499995,EXECUTE,SUCCESS,186,0,0.0
3,58,51,2.0000000312499995,EXECUTE,SUCCESS,188,0,0.0
3,59,52,2.0000000468749994,EXECUTE,SUCCESS,191,0,0.0
3,60,53,2.0000000312499995,EXECUTE,SUCCESS,193,0,0.0
3,61,55,2.0000000312499995,EXECUTE,SUCCESS,195,0,0.0
3,62,56,2.000000005625,EXECUTE,SUCCESS,196,0,0.0
3,63,59,2.000000015625,EXECUTE,SUCCESS,197,0,0.0
3,64,60,2.000000015625,EXECUTE,SUCCESS,198,0,0.0
3,65,67,2.000000015625,EXECUTE,SUCCESS,199,0,0.0
3,66,69,2.0000000312499995,EXECUTE,SUCCESS,201,0,0.0
3,67,70,2.000000015625,EXECUTE,SUCCESS,202,0,0.0
3,67,72,2.0000014999994375,CHECKPOINT,SUCCESS,298,0,0.0
3,68,72,2.0000000312499995,EXECUTE,SUCCESS,300,0,0.0
3,69,73,2.0000000312499995,EXECUTE,SUCCESS,302,0,0.0
3,70,74,2.0000000312499995,EXECUTE,SUCCESS,304,0,0.0
3,71,75,2.0000000312499995,EXECUTE,SUCCESS,306,0,0.0
3,72,76,2.0000000312499995,EXECUTE,SUCCESS,308,0,0.0
3,73,78,2.000000015625,EXECUTE,SUCCESS,309,0,0.0
3,74,81,2.000000005625,EXECUTE,SUCCESS,310,0,0.0
3,75,83,2.00000001125,EXECUTE,SUCCESS,312,0,0.0
3,76,84,2.000000005625,EXECUTE,SUCCESS,313,0,0.0
3,77,85,2.000000005625,EXECUTE,SUCCESS,314,0,0.0
3,78,86,2.000000005625,EXECUTE,SUCCESS,315,0,0.0
3,79,42,2.000000015625,EXECUTE,SUCCESS,316,0,0.0
3,80,44,2.000000015625,EXECUTE,SUCCESS,317,0,0.0
3,81,46,2.0000000312499995,EXECUTE,SUCCESS,319,0,0.0
3,82,47,2.0000000312499995,EXECUTE,SUCCESS,321,0,0.0
3,83,49,2.0000000312499995,EXECUTE,SUCCESS,323,0,0.0
3,84,51,2.0000000312499995,EXECUTE,SUCCESS,325,0,0.0
3,85,52,2.0000000468749994,EXECUTE,SUCCESS,328,0,0.0
3,86,53,2.0000000312499995,EXECUTE,SUCCESS,330,0,0.0
3,87,55,2.0000000312499995,EXECUTE,SUCCESS,332,0,0.0
3,88,56,2.000000015625,EXECUTE,SUCCESS,333,0,0.0
3,89,59,2.000000015625,EXECUTE,SUCCESS,334,0,0.0
3,90,60,2.000000015625,EXECUTE,SUCCESS,335,0,0.0
3,91,67,2.000000015625,EXECUTE,SUCCESS,336,0,0.0
3,92,69,2.0000000312499995,EXECUTE,SUCCESS,338,0,0.0
3,93,70,2.000000015625,EXECUTE,SUCCESS,339,0,0.0
3,94,72,2.0000000312499995,EXECUTE,SUCCESS,341,0,0.0
3,95,73,2.0000000312499995,EXECUTE,SUCCESS,343,0,0.0
3,96,74,2.0000000312499995,EXECUTE,SUCCESS,345,0,0.0
3,97,75,2.00000001125,EXECUTE,SUCCESS,347,0,0.0
3,98,76,2.0000000312499995,EXECUTE,SUCCESS,349,0,0.0
3,99,78,2.000000015625,EXECUTE,SUCCESS,350,0,0.0
3,100,81,2.000000015625,EXECUTE,SUCCESS,351,0,0.0
3,101,83,2.0000000312499995,EXECUTE,SUCCESS,353,0,0.0
3,102,84,2.000000015625,EXECUTE,SUCCESS,354,0,0.0
3,103,85,2.000000015625,EXECUTE,SUCCESS,355,0,0.0
3,104,86,2.000000015625,EXECUTE,SUCCESS,356,0,0.0
3,105,42,2.000000015625,EXECUTE,SUCCESS,357,0,0.0
3,106,44,2.000000015625,EXECUTE,SUCCESS,358,0,0.0
3,107,46,2.0000000312499995,EXECUTE,SUCCESS,360,0,0.0
3,108,47,2.0000000312499995,EXECUTE,SUCCESS,362,0,0.0
3,109,49,2.0000000312499995,EXECUTE,SUCCESS,364,0,0.0
3,110,51,2.0000000312499995,EXECUTE,SUCCESS,366,0,0.0
3,111,52,2.0000000468749994,EXECUTE,SUCCESS,369,0,0.0
3,112,53,2.00000001125,EXECUTE,SUCCESS,371,0,0.0
3,113,55,2.00000001125,EXECUTE,SUCCESS,373,0,0.0
3,114,56,2.000000005625,EXECUTE,SUCCESS,374,0,0.0
3,115,59,2.000000005625,EXECUTE,SUCCESS,375,0,0.0
3,116,60,2.000000005625,EXECUTE,SUCCESS,376,0,0.0
3,117,67,2.000000005625,EXECUTE,SUCCESS,377,0,0.0
3,118,69,2.0000000312499995,EXECUTE,SUCCESS,379,0,0.0
3,119,70,2.000000015625,EXECUTE,SUCCESS,380,0,0.0
3,120,72,2.0000000312499995,EXECUTE,SUCCESS,382,0,0.0
3,121,73,2.00000001125,EXECUTE,SUCCESS,384,0,0.0
3,122,74,2.00000001125,EXECUTE,SUCCESS,386,0,0.0
3,123,75,2.00000001125,EXECUTE,SUCCESS,388,0,0.0
3,124,76,2.0000000312499995,EXECUTE,SUCCESS,390,0,0.0
3,125,78,2.000000015625,EXECUTE,SUCCESS,391,0,0.0
3,126,81,2.000000015625,EXECUTE,SUCCESS,392,0,0.0
3,127,83,2.0000000312499995,EXECUTE,SUCCESS,394,0,0.0
3,128,84,2.000000015625,EXECUTE,SUCCESS,395,0,0.0
3,129,85,2.000000015625,EXECUTE,SUCCESS,396,0,0.0
3,130,86,2.000000015625,EXECUTE,SUCCESS,397,0,0.0
4,1,42,3.296968313845312,EXECUTE,SUCCESS,1,0,0.0
4,2,44,3.2939338373743943,EXECUTE,SUCCESS,2,0,0.0
4,2,46,2.0000014999994375,CHECKPOINT,SUCCESS,98,0,0.0
4,3,46,2.00000001125,EXECUTE,SUCCESS,100,0,0.0
4,4,47,2.00000001125,EXECUTE,SUCCESS,102,0,0.0
4,5,49,2.00000001125,EXECUTE,SUCCESS,104,0,0.0
4,6,51,2.00000001125,EXECUTE,SUCCESS,106,0,0.0
4,7,52,2.0000000468749994,EXECUTE,SUCCESS,109,0,0.0
4,8,53,2.00000001125,EXECUTE,SUCCESS,111,0,0.0
4,9,55,2.0000000312499995,EXECUTE,SUCCESS,113,0,0.0
4,10,56,2.000000015625,EXECUTE,SUCCESS,114,0,0.0
4,11,59,2.000000015625,EXECUTE,SUCCESS,115,0,0.0
4,12,60,2.000000015625,EXECUTE,SUCCESS,116,0,0.0
4,13,67,2.000000015625,EXECUTE,SUCCESS,117,0,0.0
4,14,69,2.0000000312499995,EXECUTE,SUCCESS,119,0,0.0
4,15,70,2.000000015625,EXECUTE,SUCCESS,120,0,0.0
4,16,72,2.00000001125,EXECUTE,SUCCESS,122,0,0.0
4,17,73,2.00000001125,EXECUTE,SUCCESS,124,0,0.0
4,18,74,2.0000000312499995,EXECUTE,SUCCESS,126,0,0.0
4,19,75,2.0000000312499995,EXECUTE,SUCCESS,128,0,0.0
4,20,76,2.0000000312499995,EXECUTE,SUCCESS,130,0,0.0
4,21,78,2.000000015625,EXECUTE,SUCCESS,131,0,0.0
4,22,81,2.000000005625,EXECUTE,SUCCESS,132,0,0.0
4,22,83,2.000000539999927,CHECKPOINT,SUCCESS,228,0,0.0
4,23,83,2.00000001125,EXECUTE,SUCCESS,230,0,0.0
